,Unnamed: 0,Buyer,# of transactions,Avg transaction price,avg holding period
96,96,0xa9552226ba53c5dfce2ff3cfae86d83dce529444,37,797664.7214,45588.648648648006
97,97,0xc7fd4177a0b30f0d1001da363646a661cd104802,37,61909.01595,17858523.243243244
98,98,0x25de83caa6a2c4a07f7b4718faf5aa06d880c0cf,37,3907376.847,8493799.45945946
99,99,0xdbf56f5870e84e8e59f2000bac44148723c47f8c,37,4984.221892,34360170.81081081
100,100,0xc75b143301cf47a3ad096ed904f5e3f0831a57fb,37,49570.12892,14318855.675675677
101,101,0xa8d04cd4e1951291740ef977d56336fdc7f394c5,37,45293.28486,5035945.9459459465
102,102,0x7b66d27825cd8fd2d9748221d7e06c10072b6e36,37,54997.01324,16055518.378378378
103,103,0x3abe35eba716e436267384c637c65fc8585c50d6,36,96645.18944,2194481.666666666
104,104,0x9f28152ae399a6f1b9760c04972de4f9303c0c9f,36,50809.68944,2601.6666666660003
105,105,0x3090eef25c05c6cf6ff2988646ee27aa2f5c0178,36,51183.29722,460213.333333333
106,106,0x7811c6a535ddff8f86bfdeade882e744bc9fe380,36,72637.39667,31273486.66666667
107,107,0x2244deba8c0e788a60b30b805ff970e082bdbc5a,36,8224.076389,5393603.333333333
108,108,0xf5fddb64c566f2709b68378fd0d0092cf947d931,36,15432.06167,10322190.0
109,109,0x8919755f0cc60550b41f72fc5f9d99ebe4a029d6,35,101006.5254,2156208.0
110,110,0xc5f59709974262c4afacc5386287820bdbc7eb3a,35,39908.59114,17657074.285714287
111,111,0xb5696e4057b9ba76616cecb5a537eaca7b3cdf54,35,80372.90171,23213321.142857146
112,112,0xa3818bc0ab0fc8273f308ba2793e49e10aa1f756,35,52239.79686,6191511.428571429
113,113,0x7eb413211a9de1cd2fe8b8bb6055636c43f7d206,35,418941.404,19408983.42857143
114,114,0x0abd70eb980a55d9221e186b9b150539166fc679,35,2384367.286,796503.428571428
115,115,0x9f4838f18104f4973aa0972a73a3f50bdebf86ba,35,19346.57886,18556440.0
116,116,0x30391a4f9d2f099d41888f811784281cba4097f0,35,1171802.101,30402.857142857003
117,117,0xbe1db1dc16341f7ed608753d94583c458ff4098f,34,80634.77559,1066821.176470588
118,118,0x4f0e1afcefd307ef0f306959c970fe96839349bc,34,4113.175882,1018925.2941176471
119,119,0xc4da1707a7a16cf4ac15d75d6a49a684b23ee1e4,34,19538.85294,3296017.058823529
120,120,0xaddb186047b8fd97d64c808f0b8df6589376f256,34,2367540.0,25424.117647058003
121,121,0xc1bb39ba8ab14b37d4dd59c457042f639dfef95d,34,8592.610294,3453704.1176470593
122,122,0x82ff9e428ad69f54f4c0251d13607af7da8bd91e,34,1274348.081,102322.94117647
123,123,0xfa89ec40699bbfd749c4eb6643dc2b22ff0e2aa6,33,76066.91303,6608770.909090909
124,124,0x054882f5d1c45b0565d2d61ca65ef2c388b12be0,33,52191.63788,4014600.0000000005
125,125,0x8eea1d4c3c6d29c2e2b312fb0e7d4c81af87dfde,33,23129.01394,1363347.272727272
126,126,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,33,162866.8352,21075478.18181818
127,127,0x9137a5d195f0ab57e428c5a2be9bc8c4620445cb,32,7276.916875,6323098.125
128,128,0xf00a927ec2fe6c9201986717ad8e73534c71c30c,32,16531.75781,33705971.25
129,129,0xddf767f258adf0af89896621349cadcf8722f771,31,40027.88065,6450408.387096775
130,130,0xc4b0d0a7717905d342926958453e0654806850bb,31,40550.67903,12294627.096774194
131,131,0x4191131cd452e9729546b79f9f4e00c12e1d1c22,31,21213.25742,17387657.419354837
132,132,0xbd9ff6eb3e115e8eb19aaadfb71807e76274990b,31,14139.60935,6921981.290322581
133,133,0x8b3383ffb325e3169c26b0d9cd6d0ae8c48f6331,31,1320147.379,10507.741935483
134,134,0x2c2ed4b3876c442fee80bee76ce0ee2ca2a512af,31,118106.1606,8837303.225806452
135,135,0xf46c246c69f547bc3b864648bf13324c355e519b,31,17898.70645,21714828.387096778
136,136,0xf2cf7378e44be078732c215fad97af709379ca1d,30,39344.88267,18480854.0
137,137,0xb11b854d581ae7b737cd76459cb24ccf4433f4b6,30,14783.99467,2212238.0
138,138,0xc7a11661ec598aed0d6551dabc5c8947ed110143,30,115210.068,10702780.0
139,139,0x7512c6a03b4c29e95b4786a5c2045aca94eaf05e,30,46625.45433,19812752.0
140,140,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,30,429247.771,21168524.0
141,141,0x9f14f09264723e81d7231551af40f745976d740b,30,4326.687667,9165846.0
142,142,0x1f055d883120bb393a8b0a913fbeb91667957201,30,772323.189,325966.0
143,143,0x12f37431468eb75c2a825e2cf8fde773ad94c8ea,30,40759.71067,30436954.000000004
144,144,0x4f59ce7bb4777b536f09116b66c95a5d1ea8a8e6,29,7099.405862,1944053.793103448
145,145,0x60251579f5d1be1483ecac3519c9f0515dd9e023,29,33758.75138,8008833.103448276
146,146,0x0a149ed9dc2d03faee1128100669e9ea27292473,29,17752.49069,23884860.0
147,147,0xa2ad059753d96a1d67d4f18149a1cc23ac923a8e,29,36732.41552,2674864.137931034
148,148,0xb32b4350c25141e779d392c1dbe857b62b60b4c9,29,23503.84655,5464615.862068966
149,149,0xc7b72bb1acdce3eb45f9b38f43cd31e4927c725b,29,89053.38172,10197362.068965519
150,150,0x9be313209be2bf005942d4ddbafececde5f18b30,29,54721.57448,12658251.724137932
151,151,0x7e84e0c8d8b3c29cec79454b1291cf7375b231bf,29,170716.1493,239546.89655172403
152,152,0x5cf2ed6a095fd9d5704b2036714d36d87781cd3d,29,66226.23172,12368056.55172414
153,153,0xb12f1f37767d19d63ca5a9889da95cb396c957eb,29,42560.28276,19734883.448275864
154,154,0xa9336f96192140af9a62da3a28b778ee37a785ec,28,12817.01036,10904852.142857142
155,155,0x33d5cc43debe407d20dd360f4853385135f97e9d,28,7534.9875,6605243.571428572
156,156,0xe710592ac31387fcfc84666f8c108d7f38f29c2e,28,20449.65821,3925517.142857143
157,157,0x9d6c133b388c1fc9756ffa38c18e8e770e44dd93,28,9085.988571,850129.2857142851
158,158,0x32fedea027b7eb6d42c47479de3962ccca56900d,28,823504.8079,16178.571428571002
159,159,0xab557245f9de18a7a2b59e8bc4f361dd83d16807,28,83419.73893,25167042.85714286
160,160,0x9dbd781eeba135ad2a779926880adc89196a3265,28,23834.46536,4340455.714285715
161,161,0xa82fb6f7f9dccfbcab9d99addeb884033af11b86,28,25350.88286,5584399.285714286
162,162,0x36c1625e5ee6fbfa9fadd4f75790275e5eab7107,28,101717.5532,8858897.142857144
163,163,0x1729f93e3c3c74b503b8130516984ced70bf47d9,28,3682.510714,5563740.0
164,164,0x4a7f84268a2f35d1d7131b38e32f348dd3b3ea96,27,4828.998148,9744668.888888888
165,165,0x1a491fc7dacae7e270bf9a116c026987d0e6be0a,27,33599.64704,17034053.333333336
166,166,0xb921c84a49d4dd992fb39a2cba45b0dfe8d28275,27,73534.3037,331.111111111
167,167,0x12ccdf3513f8f09f4c0e6ad7821988a7a8ac0be1,27,24514.37852,6174262.222222222
168,168,0x8129d4010a676a660502a4770d8a97f8d1788e5f,27,23285.66074,10326782.222222222
169,169,0x3bf2644f53ae8d064e031cf2e196386f69942f83,27,375015.5126,2722.2222222220003
170,170,0xcbd6f0e9313007b3b888fb80d540820829197d12,27,322810.1585,3486.6666666660003
171,171,0x22ef06a21222fd7cfbaf4d2467ee084e4f7ce5b7,27,382794.0993,342.222222222
172,172,0x274511c27f659187d5c01cae69af0361e9f388c3,27,14563.99481,11436904.444444444
173,173,0x488db2810beba8dad806c7d237751075dc48364c,27,54566.73556,2849333.333333333
174,174,0xfd5ac3a49c0ffe8011028a37e876af259caba160,27,316303.0307,793.333333333
175,175,0x7b3afc18936f9d0410002cdc9c4f28d772ca41af,27,107731.4737,10820255.555555556
176,176,0x92041c816fa960e2352f49ac118771307c416a17,27,33332.11778,9851160.0
177,177,0x61bd518d28897ac109e520587edd3dcc58d21697,27,314585.2307,662.222222222
178,178,0xbfa6e91d9177a365bbf9e023e1bcaaae71be132c,26,313435.8977,4253.076923076001
179,179,0x8eb964e215b4c7dc4e546021bad33ff9d2b7ceb0,26,25052.28692,2095017.692307692
180,180,0x3462d4f128e214f09a5483ab2613fbf13cd4e57e,26,18656.75038,2213995.384615384
181,181,0xc72320922460b5933019c902b37a529d0527648f,26,85375.14846,21242531.53846154
182,182,0xd01c312ae9b848b3dfea3a3a77438adf49515ee7,26,24656.22962,19042188.46153846
183,183,0x265cdd11b3abb0432a35300f6afb214777280817,26,51837.69538,1755895.384615384
184,184,0x1cc3195c46c2f6af665ae281ad861eab88ed8fb5,26,22262.70654,4304312.307692307
185,185,0x9e437b064cfc7801808c5e476abfafa5069ab55b,26,150907.2077,8017880.76923077
186,186,0x138b9057d61e893b72b33ab2d17f24ac87bd33cb,26,3317328.572,4542166.153846154
187,187,0x5cbd390539caaa24152d62003de2522565470152,26,32902.51885,3619456.1538461545
188,188,0xacdaeeb57ff6886fc8e203b9dd4c2b241df89b7a,26,64631.06692,3181093.846153846
189,189,0x88485489da15e0007b3f44eef761ac37910408e7,25,4094.1044,3952886.4000000004
190,190,0xaf0f4479af9df756b9b2c69b463214b9a3346443,25,81709.5648,2581706.4000000004
191,191,0x6d0267156f1c6ce44caa4bf129b76009d3d41830,25,234520.2744,4709980.800000001
192,192,0xf35716a571f529770aa400e298d14106fc8af7d6,25,313277.616,782.4000000000001
193,193,0x2f5170deea823099d75f200ae0524b30c3701881,25,57652.9896,17358300.0
194,194,0x61a4fc9028048e562b2a49d8dccf2378b644df03,25,23053.9556,20944351.200000003
195,195,0x01de321ebe92e51b1cf0610cfed109c0877ff980,25,91517.1048,12485524.8
196,196,0xd71d23b29d7ba769c0d9d96c35ec4360e7009208,25,8111.4996,1144082.4000000001
197,197,0xb08856994dd338b0db1253dcab0e5f56e27f3985,25,951521.7292,157012.80000000002
198,198,0x62b8cc7f15823ffae76b77b4523f948ef34ed3ac,25,10396.9528,1297452.0
199,199,0x87ad0267b437575b58624afbb67ad3a7f6876566,25,87686.0868,11175892.8
200,200,0xbb0d4ccf4e095a2d6a9a2bee2985a703c1ca9b69,25,36494.5168,34204152.0
201,201,0xdc95b1b1b21a104fa2899386f13a2ddf407f466d,25,16923.4336,4000586.4000000004
202,202,0x8091deca14db6db65555331b83f09d23188af92b,25,9122.0824,21036472.8
203,203,0x11ad632cf28ee4559bddf3d4dc2019e78eb7ec3c,25,117007.87,24833388.0
204,204,0x113ee41d97416d0afb2915e9c4ed6d4a4e9c299b,24,27752.92208,8131932.500000001
205,205,0x3726b14e9d8a09fb42c776f509535e23016cfc2b,24,276612.425,892.5
206,206,0x7e9f74ecfa5054b8672db762a2cb977379f33628,24,53198.34875,13999117.5
207,207,0x4836ae11037f696693c2916834754fa6c2ecc27d,24,158143.2263,15076172.500000002
208,208,0x9cb15c0ed7548a2b6ed8233d82712daf52e8714e,24,22347.8875,1817237.5
209,209,0xec7100abdbcf922f975148c6516bc95696ca0ef6,24,35692.06833,3863807.5000000005
210,210,0x5c68f23ab7668c52bff0ae8cdf72987b428879f2,24,70261.68,18184590.0
211,211,0xf36972bbff0bb63dbc8f2c8a93625647b32e024b,24,35074.69208,33026550.000000004
212,212,0xc02caad03884c2bb5821218a82a29cdd46ef683b,24,153772.5738,512732.50000000006
213,213,0xe0793323990b1e956a45e11300074f2ce61d18b9,24,282371.6242,3902.5000000000005
214,214,0xdd94fe8f7e96d579e82f67d5b0ef6df493f72d80,24,106528.7667,3188195.0
215,215,0x3de260dcc8153f585680d9af467324decf087688,24,23165.71125,14223560.0
216,216,0x8d0943c238d8d0d3a6d5f2aaa4dafa869a8c3913,24,15869.82292,5007347.5
217,217,0x60b1e2f997306604de4050fa0d4095428b887b2a,24,7766.76875,47180.0
218,218,0xf797834c7ec2078de5a5c086bbc5d5985b574ebf,24,10522.67083,11190440.0
219,219,0x720723842a049c8971624c1363b1e1ce312694ac,24,5237.027917,2011822.5000000002
220,220,0x9854716bb75963c53c4f8cca97b74b94db848a71,24,16902.19833,6308365.0
221,221,0x3811866a85b0e42b437b36bb4fd2f05e4c3b16f8,24,38250.11833,17966907.5
222,222,0x2da526dd9d389f89bea8fd42c30e97d4ff7d04de,24,121541.3846,18805.0
223,223,0x1964f9cffa39ce77611b44dddd21a22290a5283c,24,951727.5817,727.5
224,224,0x5b14674acb4727f73d5d236d8d58afc6b4fb10dc,24,33977.78,1255530.0
225,225,0xb523170d7d9010a5046e7753ee8c814ad9ec0c05,24,30494.48417,4095450.0000000005
226,226,0x686da990d99b9c9cb778a6c390c33f899ec3f670,24,312267.33,4042.5000000000005
227,227,0xd9ec6bef8eedcdb96c185fbb8f7fbedcb1aaf582,23,76356.95,23872.173913043003
228,228,0x12be0666d73e60351289859c2ffcf9a3f9796c2d,23,11636.45957,8511164.347826088
229,229,0x9785b76b20dd9b77852771c4bf16785ad8e5b242,23,335011.9652,4194.782608695
230,230,0x9b37bc499de5e675063695211618f3cd64a1b9fc,23,68359.23043,30035660.86956522
231,231,0xb2335d5461bb8c3e85728bdb88427c7abaf93c61,23,329700.043,2504.347826086
232,232,0x64bbdee28c44a070cd85d4a6f8f7917456ca10c1,23,4616.493478,35104210.43478261
233,233,0xe3ab023c7f84207589d36872f0a25afc3c433d69,23,341944.317,393.913043478
234,234,0x4c53c32980cce49aaa4bcc53eef3f143bc27e0af,23,71398.63826,11632322.608695652
235,235,0x5d844a343fdade8deb4992f8fcdd1ee2200f03a4,23,35019.18087,14839440.0
236,236,0x29093a796a7b83b44b2d946c9964721a8105ef99,23,60139.65043,4109475.652173913
237,237,0xe6da1d19fdcec179ba9755f2c6139f8ffecbfeb0,23,15010.75043,2408379.1304347822
238,238,0xfcca6795934528041f9f8d09883b2f2fb6806b65,23,12313.91913,1131884.3478260871
239,239,0x4126ca4080fb0441876ccac8ff8b86f8d382bb6d,23,7324.814783,1572279.130434782
240,240,0xbda4d3bd8d6875fdfc0a9a07f8768047cf858221,23,149716.4283,9123386.086956523
241,241,0x26bcb16a88a9179efadc11b90e2a55ed8bd74b6c,23,3805.014348,2797870.434782608
242,242,0x2ee1e6483ab36c07a7f7593cee9c8c7df7c729ac,23,121491.553,393900.0
243,243,0x72915ad3110eb31768a562f540ac1ebcd51d3dc8,23,44095.52609,4646700.0
244,244,0xbfd8cba6a1e10e1ab4fa11a0062f4e52e13d260f,23,64423.94304,16934319.13043478
245,245,0xdfbd470fa123180147cc1109be264fecef8fdd0e,23,11149.37652,5790396.52173913
246,246,0x85f6d06d3d4caa52ae5464b3a814ec1d5c0df20b,22,358144.5545,267.272727272
247,247,0x729715f4f92e29ca175da2021878bf1ae029fc05,22,42467.41727,9030103.636363637
248,248,0x48039cfabedc5e0d24482a6f71edcf3a75b1921f,22,1010517.426,6886.363636363
249,249,0x735ed02655bca15ec46491c0de4946591135459b,22,25600.71727,5180340.0
250,250,0x2c968ca1cf606b01fc83a68b8d7614c67a4c0054,22,22931.25727,19236136.363636367
251,251,0x6b7ada3fe5ccf3ab10a8e7ae7f4593b88b3bf385,22,98403.04409,22546658.18181818
252,252,0x8be35ca7f8cf057ef0857276acc578c0a2e7a027,22,54489.89091,20464104.545454547
253,253,0x2c893b54e24188764ab71bbb72baca8990dea2e4,22,7681.618182,3557190.0
254,254,0xef651aeb3f20ee4e2bcd22e111d202cde25184bb,22,33897.41409,6342755.454545455
255,255,0xebfcb12abdae1db69d0772902a5c7504cb124287,22,77796.45409,31156.363636363003
256,256,0xf853184415ac2312844e77cc7babda372e8f56af,22,41140.50773,9044451.818181818
257,257,0x2736ecb14b2f74a1bf673bf9d0790ad67a7f1fe4,22,23686.62773,6962964.545454546
258,258,0x9d711be55d2aac3ad14f7bace70304d3b4b565d0,22,328609.2418,237.27272727200003
259,259,0x0ed1e02164a2a9fad7a9f9b5b9e71694c3fad7f2,22,83318.605,26119731.81818182
260,260,0x611c67ec71202613da55d00ddc04ccdb02060fcc,22,69203.06,5689879.090909092
261,261,0x1f8b5b6220eee763c60ac064da06fcd63533fd00,22,20253.45045,1858339.090909091
262,262,0xcf55c3e0fd820a0e5d4622307a8d938fc61b0593,22,22647.22727,3793096.3636363633
263,263,0xa67286d1051a789f9fad1b9e18b43644f8786cd3,22,44020.31045,5308508.181818183
264,264,0xaeb18a774d6be15af6df72577d80939ef0dab3ce,22,125450.9282,3886.3636363630003
265,265,0x3d280fde2ddb59323c891cf30995e1862510342f,22,45709.79136,31215900.000000004
266,266,0xef3d9ddf59f3622a04753c61e6c4d596e7fc610d,22,24402.04636,14106679.090909092
267,267,0x7a331f60ff7eda98574ad419624991ff50f738e3,22,26010.41636,22474396.363636367
268,268,0xf751bef8d40d3a1b9991173fad6406fb1a33a36e,22,9730.463636,3354837.272727272
269,269,0xbd5ef06f8750f784930f7bd15484c4e7176e55c0,22,134107.6559,349.09090909
270,270,0x8894fd37a63d8959c748f639913aafd70bfc1678,22,31156.95,2158191.8181818184
271,271,0x030cfa51bb473402c33ef6678f0a3d6365e6ea31,22,48368.78091,10498590.0
272,272,0xa7106b4089e6f3f267d23abc02c9a862dcd7316e,22,1118015.021,9621.818181818
273,273,0x98d6368e767412f0b0462ce3e9e47ce8f5e40070,22,350932.77,5604.545454545
274,274,0x6ec30fd91a504aad948839b985c7263888b2ad68,21,113912.9343,12719740.0
275,275,0x5cb58a3fa9b02ae11f443b3adc231172356eccd7,21,40684.92619,9670714.285714287
276,276,0x18799f860f9adb26e076d581603037f79342e0c0,21,29481.27429,3052582.8571428573
277,277,0x4b4c13434aac5e99645a4d9e59fe497b3318f50f,21,71574.2919,29955771.42857143
278,278,0xdee0075b89869cc40135468e861dec990bb4ad6e,21,83391.82571,11616528.571428573
279,279,0x4ae958b4de0e6f21d51e73625fb9d5e0c3b0985f,21,13992.03095,24044005.714285716
280,280,0xc3a1528df68db9b0e1f28edd7b3c4958550702d1,21,109938.6324,7697751.428571429
281,281,0xb0b1ac282bdb139b5c5c1747977173faaa245b5a,21,23948.71095,25768411.42857143
282,282,0x45af75ed3980b330ff4fff1aaafbae9da4995f62,21,55448.18714,8944931.42857143
283,283,0xaeaee46b9ad8e1e213cf6d73b7b31ab19a2bb9be,21,116664.8157,2584277.142857143
284,284,0x98adf4982e0059aae0ec70e1e742a7f3476e63a0,21,94411.46762,6430437.142857144
285,285,0xf24649899edb01a223a8d4c899b66d35f655a735,21,133723.4962,21368594.285714284
